id feature_1 feature_2 feature_3 EAD exposure_class
383 1 2 2 17560 1
384 4 5 3 25340 2
385 5 6 1 33230 4
386 2 3 4 10450 0
387 3 4 2 18230 1
388 4 5 3 26010 2
389 1 2 4 33890 3
390 5 6 1 8670 0
391 3 4 5 16450 1
392 2 3 2 24120 2
393 4 5 3 31890 4
394 5 6 1 39670 0
395 3 4 4 13890 1
396 2 3 2 21670 2
397 4 5 3 29450 3
398 1 2 5 37230 4
399 5 6 1 11010 0
400 3 4 2 18890 1
401 4 5 3 26670 2
402 5 6 1 34450 3
403 2 3 4 9890 0
404 3 4 2 17670 1
405 4 5 3 25450 2
406 1 2 5 33230 4
407 5 6 1 10560 0
408 3 4 4 18340 1
409 2 3 2 26120 2
410 4 5 3 33890 3
411 5 6 1 8230 0
412 3 4 5 16010 1
413 1 2 2 23890 2
414 4 5 3 31560 4
415 5 6 1 39340 0
416 2 3 4 13560 1
417 3 4 2 21340 2
418 4 5 3 29120 3
419 5 6 1 36890 4
420 3 4 4 11560 0
421 2 3 2 19340 1
422 4 5 3 27120 2
423 1 2 5 34890 3
424 5 6 1 9670 0
425 3 4 2 17450 1
426 4 5 3 25230 2
427 5 6 1 33010 4
428 2 3 4 10230 0
429 3 4 2 18010 1
430 4 5 3 25890 2
431 1 2 4 33670 3
432 5 6 1 8890 0
433 3 4 5 16670 1
434 2 3 2 24450 2
435 4 5 3 32230 4
436 5 6 1 40010 0
437 3 4 4 13230 1
438 2 3 2 21010 2
439 4 5 3 28890 3
440 1 2 5 36560 4
441 5 6 1 11890 0
442 3 4 2 19670 1
443 4 5 3 27450 2
444 5 6 1 35230 3
445 2 3 4 10010 0
446 3 4 2 17890 1
447 4 5 3 25670 2
448 1 2 5 33450 4
449 5 6 1 9340 0
450 3 4 4 17120 1
451 2 3 2 24890 2
452 4 5 3 32670 3
453 5 6 1 40450 0
454 3 4 5 12780 1
455 1 2 2 20560 2
456 4 5 3 28340 4
457 5 6 1 36120 3
458 2 3 4 11340 0
459 3 4 2 19120 1
460 4 5 3 26890 2
461 5 6 1 34670 3
462 1 2 4 9560 0
463 3 4 5 17340 1
464 2 3 2 25120 2
465 4 5 3 32890 4
466 5 6 1 10670 0
467 3 4 4 18450 1
468 2 3 2 26230 2
469 4 5 3 34010 3
470 1 2 5 8450 0
471 5 6 1 16230 1
472 3 4 2 24010 2
473 4 5 3 31890 4
474 5 6 1 39560 0
475 2 3 4 14010 1
476 3 4 2 21890 2
477 4 5 3 29670 3
478 1 2 5 37450 4
479 5 6 1 12230 0
480 3 4 4 20010 1
481 2 3 2 27890 2
482 4 5 3 35670 3
483 5 6 1 10010 0
484 3 4 5 17890 1
485 1 2 2 25670 2
486 4 5 3 33450 4
487 5 6 1 9120 0
488 2 3 4 17010 1
489 3 4 2 24670 2
490 4 5 3 32450 3
491 5 6 1 40340 0
492 3 4 4 13450 1
493 2 3 2 21230 2
494 4 5 3 29010 4
495 1 2 5 36780 3
496 5 6 1 11670 0
497 3 4 2 19450 1
498 4 5 3 27230 2
499 5 6 1 35010 3
500 2 3 4 10340 4
